number,answer,question
16,4,拒絕、規避或妨礙依職業安全衛生法規定之檢查者，可處下列何種處罰？ ①3 年以下有期徒刑 ②新臺幣 3 千元以下之罰鍰 ③新臺幣 3 萬元以上 6 萬元以下罰鍰 ④新臺幣 3 萬元以上 30 萬元以下罰鍰 。
17,2,工作場所有立即發生危險之虞時，何人應即令停止作業，並使勞工退避至 安全場所？ ①業主或雇主 ②雇主或工作場所負責人 ③工作場所負責人或 部門主管 ④部門主管或作業主管 。
18,3,依職業安全衛生法規定，有關事業單位訂定安全衛生工作守則之規定，下 列何者正確﹖ ①應報經縣、市主管機關備查 ②事業單位組織工會者，由 雇主自行訂定 ③得依事業單位之實際需要，會同勞工代表訂定適用於全部 或一部分事業之工作守則並報經勞動檢查機構備查後，公告實施 ④報經備 查之工作守則，不需公告即可實施 。
19,3,依職業安全衛生法規定，勞工不參加雇主安排之安全衛生教育、訓練，下 列敘述何者正確﹖ ①法院得予判決徒刑 ②法院得予判決罰金 ③主管機關 得予處分罰鍰 ④雇主得予處分罰鍰 。
20,4,有關事業單位發生勞工死亡之職業災害後之處理，下列所述雇主之作為何 者有誤？ ①非經許可不得移動或破壞現場 ②應實施調查、分析及作成紀 錄 ③應於八小時內通報勞動檢查機構 ④如已報告勞動檢查機構，則得免 於當月職業災害統計月報表中陳報 。
21,3,依職業安全衛生管理辦法規定，第一類事業單位勞工人數在幾人以上者， 應設直接隸屬雇主之專責一級管理單位？ ①30 ②50 ③100 ④200 。
22,3,依職業安全衛生管理辦法規定，依職權指揮、監督所屬執行安全衛生管理 事項，並協調及指導有關人員實施為下列何者之職責？ ①職業安全衛生業 務主管 ②職業安全（衛生 )管理師 ③工作場所負責人及各級主管 ④一級單 位之職業安全衛生人員 。
23,2,依職業安全衛生管理辦法規定，第一類事業單位勞工人數在幾人以上者， 應參照中央主管機關所定之職業安全衛生管理系統指引，建置適合該事業 單位之職業安全衛生管理系統？ ①100 ②200 ③300 ④500 。
24,1,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災 害，工作場所之連繫與調整之措施，屬下列何者之職責？ ①原事業單位指 定之工作場所負責人 ②承攬人 ③再承攬人 ④關係事業 。
25,2,職業安全衛生設施規則為事業單位一般工作場所安全衛生設施之何種標 準？ ①最高標準 ②最低標準 ③特定標準 ④參考標準 。
26,2,依職業安全衛生設施規則規定，室內工作場所主要人行道寬度不得小於幾 公尺？ ①0.8 ②1.0 ③1.2 ④1.5 。
27,1,依職業安全衛生設施規則規定，室內工作場所各機械間或其他設備間通道 寬度不得小於幾公尺？ ①0.8 ②1.0 ③1.2 ④1.5 。
28,3,依職業安全衛生設施規則規定，室內工作場所自路面起算多少公尺高度範 圍內，不得有障礙物？ ①1.5 ②1.8 ③2 ④3 。
29,4,雇主架設之通道，有墜落之虞之場所，依職業安全衛生設施規則規定，應 置備高度多少公分以上之堅固扶手？ ①50 ②65 ③70 ④75 。
30,3,依職業安全衛生設施規則規定，固定梯子之頂端應突出板面多少公分以 上？ ①10 ②30 ③60 ④90 。
31,2,加工物截斷，有飛散危害勞工之虞時，應於加工機械設何種防護裝置？ ① 欄杆 ②護罩 ③光電開關 ④套胴 。
32,3,依職業安全衛生設施規則規定，下列何者為氧化性物質？ ①三硝基苯 ② 過氧化丁酮 ③氯酸鉀 ④過醋酸 。
33,1,依職業安全衛生設施規則規定，下列何者為爆炸性物質？ ①硝化纖維 ② 賽璐珞 ③汽油 ④過氯酸鉀 。
34,1,依職業安全衛生設施規則規定，下列何者為可燃性氣體？ ①氫 ②乙醚 ③ 苯 ④汽油 。
35,4,依職業安全衛生設施規則規定，雇主對於物料之搬運，應儘量利用機械以 代替人力，對多少公斤以上之物品，以機動車輛搬運為宜？ ①200 ②300 ③ 400 ④500 。
36,3,依職業安全衛生設施規則規定，雇主對於物料之搬運，應儘量利用機械以 代替人力，至少多少公斤以上物品，以人力車輛或工具搬運為原則？ ①30  ②35 ③40 ④50 。
37,2,依職業安全衛生設施規則規定，離地多少公尺以內之傳動帶，應裝置適當 之圍柵或護網？ ①1.8 ②2 ③2.5 ④3 。
38,2,依職業安全衛生設施規則規定，設置固定式圓盤鋸、帶鋸、手推刨床、截 角機等合計在幾台以上時，應指定作業管理人員？ ①3 ②5 ③10 ④30 。
39,4,依職業安全衛生設施規則規定，勞工有自粉碎機、混合機之開口部分墜落 之虞，應設置圍柵時，其高度應在多少公分以上？ ①60 ②70 ③80 ④90 。
40,1,依職業安全衛生設施規則規定，起重機具之吊鉤或吊具之非為直動式過捲 預防裝置，應至少與吊架或捲揚胴保持多少公尺距離，以防止接觸碰接？  ①0.25 ②0.60 ③1.00 ④1.25 。
41,3,依職業安全衛生設施規則規定，搬器地板與樓板相差多少距離以上時，應 有使升降機門不能開啟之連鎖裝置？ ①7.5 公厘 ②15 公厘 ③7.5 公分 ④ 15 公分 。
42,3,依機械設備器具安全標準規定，木材加工用圓盤鋸應設置何種安全裝置？  ①套胴 ②圍柵 ③鋸齒接觸預防裝置 ④雙手按鈕開關 。
43,2,依職業安全衛生設施規則規定， 150 伏特以下之低壓帶電體前方，可能有 檢修、調整、維護之活線作業時，其最小工作空間不得小於多少公分？ ① 80 ②90 ③105 ④120 。
44,1,依高壓氣體勞工安全規則規定，高壓氣體貯存區周圍在多少公尺內不得放 置有煙火或放置危險物質？ ①2 ②3 ③4 ④5 。
45,2,依職業安全衛生設施規則規定，使用乙炔熔接裝置從事金屬熔接，其產生 之乙炔壓力不得超過表壓力每平方公分幾公斤以上？ ①1.2 ②1.3 ③2.0 ④ 2.1 。
46,2,依職業安全衛生設施規則規定，雇主對於建築物之工作室，其樓地板至天 花板淨高應在幾公尺以上？ ①2 ②2.1 ③2.3 ④2.5 。
47,2,依職業安全衛生設施規則規定，其他可燃性氣體是指在一大氣壓力下，攝 氏幾度時具可燃性之氣體？ ①10 ②15 ③25 ④30 。
48,1,進行槽內缺氧作業時，應穿戴何種呼吸防護器具？ ①空氣呼吸器 ②氧氣 急救器 ③半面式防毒面罩 ④口罩 。
49,2,作業人員於工作中遭強酸（鹼）噴濺至身體時，應先採取下列何種措施？  ①立即召喚救護車緊急送醫院（或廠區醫護室處理） ②立即以清水沖洗 30 分鐘以上，脫掉衣服後送醫院救治 ③立即塗佈灼傷藥膏 ④立即吞食酸 或鹼性中和藥劑 。
50,1,依職業安全衛生設施規則規定，勞工噪音暴露工作日八小時內，任何時間 不得暴露於超過 115dBA 之何種噪音？ ①連續性 ②突發性 ③衝擊性 ④爆 炸性 。
51,3,依職業安全衛生設施規則規定，勞工從事刺激物、腐蝕性物質或毒性物質 污染之工作場所，每多少人應設置一個冷熱水沖淋設備？ ①5 ②10 ③15  ④30 。
52,3,依職業安全衛生設施規則規定，一般工作場所平均每一勞工佔有 10 立方 公尺，則該場所每分鐘每一勞工所需之新鮮空氣為多少立方公尺以上？ ① 0.14 ②0.3 ③0.4 ④0.6 。
53,1,依職業安全衛生管理辦法規定，下列何項設備每月應定期實施自動檢查 1 次？ ①第一種壓力容器 ②第二種壓力容器 ③小型鍋爐 ④小型壓力容器 。
54,3,依職業安全衛生管理辦法規定，雇主對升降機之終點極限開關，應多久實 施定期檢查一次？ ①每日 ②每週 ③每月 ④每年 。
55,2,依職業安全衛生管理辦法規定，營造工程之施工架每隔多少時間應定期實 施自動檢查一次？ ①每天 ②每週 ③每月 ④每年 。
56,2,依職業安全衛生管理辦法規定，下列何種機械設備需於初次使用前，實施 重點檢查？ ①第一種壓力容器 ②第二種壓力容器 ③蒸汽鍋爐 ④小型鍋 爐 。
57,4,依職業安全衛生管理辦法規定，雇主對固定式起重機於瞬間風速可能超過 每秒多少公尺以上時，應實施各部安全狀況之檢點？ ①15 ②20 ③25 ④ 30 。
58,1,依職業安全衛生管理辦法規定，事業單位以其事業之全部或部分交付承攬 時，如該承攬人使用之機械、設備或器具係由原事業單位提供者，該機械、 設備或器具如無特別規定，應由下列何者實施定期檢查及重點檢查？ ①原 事業單位 ②承攬人 ③再承攬人 ④最後承攬人 。
59,1,依職業安全衛生管理辦法之規定，雇主對移動式起重機，應於每日作業前 對下列何種裝置之性能實施檢點？ ①過捲預防裝置 ②鋼索及吊鏈 ③吊 鉤、抓斗等吊具 ④集電裝置 。
60,3,依職業安全衛生管理辦法規定，職業安全衛生委員會置委員 7 人以上，勞 工代表應佔委員人數之下列何者以上？ ①1/5 ②1/4 ③1/3 ④1/2 。
61,1,依職業安全衛生管理辦法規定，僱用勞工人數在一千人以上之事業，擔任 職業安全衛生業務主管未具有職業安全管理師或職業安全衛生管理員資 格者，應接受何種職業安全衛生業務主管安全衛生教育訓練？ ①甲 ②乙  ③丙 ④丁 。
62,3,依職業安全衛生管理辦法規定，下列何種人員具有職業安全管理師之資 格？ ①曾任勞動檢查員具有工作經驗 2 年以上者 ②國內專科以上學校工 業安全衛生類科畢業者 ③領有職業安全管理甲級技術士證照者 ④具有工 業衛生技師資格者 。
63,2,依職業安全衛生管理辦法規定，雇主對高壓氣體儲存能力在多少以上之儲 槽，應每年定期測定其沉陷狀況一次？ ①50 立方公尺 ②100 立方公尺 ③ 0.5 公噸 ④0.8 公噸 。
64,2,依勞工健康保護規則規定，勞工暴露工作日八小時日時量平均音壓級噪音 在多少分貝以上之作業，為特別危害健康作業？ ①80 ②85 ③90 ④95 。
65,1,依勞工健康保護規則規定，事業單位之同一工作場所，從事特別危害健康 作業勞工人數在多少人以上時，應聘專任護士 1 人以上？ ①100 ②200 ③ 300 ④400 。
66,1,依勞工健康保護規則規定，合格急救人員每一輪班次勞工人數未滿 50 人 者設置 1 人，50 人以上每滿多少人增設 1 人？ ①50 ②100 ③150 ④200 。
67,3,依勞工健康保護規則規定，一般健康檢查，勞工至少年滿多少歲者，應每 三年定期檢查一次？ ①30 ②35 ③40 ④45 。
68,3,(本題刪題 )依勞工健康保護規則規定，鉛、苯、砷作業環境測定，其濃度 連續三年均在容許濃度值之多少比值以下，且安全衛生設施符合規定，經 檢查機構核可者，得免實施特殊健康檢查？ ①1/4 ②1/3 ③1/2 ④相等 。
69,2,依勞工健康保護規則規定，特殊健康檢查結果部分項目異常，經醫師綜合 判定為異常，而與工作無關者，屬於下列何級健康管理？ ①第一級 ②第 二級 ③第三級 ④第四級 。
70,2,依勞工健康保護規則規定，從事噪音超過 85 分貝作業之勞工，應每隔多 久實施特殊健康檢查一次？ ①半年 ②1 年 ③2 年 ④3 年 。
71,4,事業單位依勞工健康保護規則設置之醫療衛生單位及人員，應填具醫療衛 生單位及人員設置報備書向下列何單位報備？ ①中央主管機關及當地勞 動檢查機構 ②勞工保險局及中央衛生主管機關 ③中央衛生主管機關及當 地勞動檢查機構 ④當地勞動檢查機構及衛生主管機關 。
72,1,下列何者是勞動檢查法規定的危險性工作場所？ ①爆竹煙火工廠 ②農藥 包裝工作場所 ③設置冷涷能力 1 日為 10 公噸之高壓氣體類壓力容器之工 作場所 ④製造、處置、使用氯氣之數量為 1000 公斤之工作場所 。
73,1,依危險性工 作場所審查及檢查辦法規定，從事石油產品之裂解反應，以製 造石化基本原料之工作場所，應歸類為何種危險性工作場所？ ①甲類 ② 乙類 ③丙類 ④丁類 。
74,2,依危險性工作場所審查及檢查規定，有關事業單位甲類工作場所申請審查 之程序，下列何者正確？ ①使勞工作業 30 日前，向當地勞動檢查機構申 請檢查 ②使勞工作業 30 日前，向當地勞動檢查機構申請審查 ③使勞工作 業 45 日前，向當地勞動檢查機構申請審查 ④使勞工作業 45 日前，向當地 勞動檢查機構申請審查及檢查 。
75,2,依危險性工作場所審查及檢查規定，勞動檢查機構對申請審查之丁類危險 性工作場所應於受理申請後，幾日內將審查之結果，以書面通知事業單 位？ ①20 ②30 ③45 ④60 。
76,2,依危險性工作場所審查及檢查辦法規定，事業單位有兩個以上場所從事製 造、處置、使用危險物、有害物時，其數量依規定在多少公尺距離以內者， 應合併計算？ ①100 ②500 ③1000 ④5000 。
77,2,依危險性工作場所審查及檢查辦法規定，甲類、乙類、丙類危險性工作場 所經審查、檢查合格後，應於製程修改時或至少每幾年依當初申請審查、 檢查檢附之資料重新評估一次？ ①3 ②5 ③7 ④10 。
78,3,依危險性工作場所審查及檢查辦法規定，勞動檢查機構對申請審查及檢查 之乙類危險性工作場所，應於受理申請後幾日內將審查之結果，以書面通 知事業單位？ ①20 ②30 ③45 ④60 。
79,4,依危險性工作場所審查及檢查辦法規定，從事高度在 80 公尺以上建築工 程之工作場所，屬下列何種危 險性工作場所？ ①甲類 ②乙類 ③丙類 ④丁 類 。
80,2,下列有關職業安全衛生管理辦法之敘述，何者正確？ ①營造工程之原事業 單位已設置職業安全衛生管理人員，其承攬人及再承攬人即可免重複設置  ②事業單位應依勞工人數設置職業安全衛生人員 ③領班應釐訂職業安全 衛生計畫，並指導有關部門實施 ④工地主任對事業雖無經營管理權限，但 事業單位之職業安全衛生管理依法仍由工地主任綜理負責 。
81,2,依危險性工作場所審查及檢查辦法規定，事業單位應於甲類危險性工作場 所使勞工工作幾日前，向當地勞動檢查機構申請檢查？ ①20 ②30 ③40 ④ 45 。
82,4,依危險性工作場所審查及檢查辦法規定，對工程內容較複雜、工期較長、 施工條件變動性大等特殊情況之丁類危險性工作場所，得報經下列何單位 同意後，分段申請審查？ ①地方主管機關 ②公共工程委員會 ③工程主辦 機關 ④勞動檢查機構 。
83,4,依危險性工作場所審查及檢查辦法規定，事業單位應於乙、丙類危險性工 作場所使勞工工作幾日 前，向當地勞動檢查機構申請審查及檢查？ ①20  ②30 ③40 ④45 。
84,3,(本題刪題 )依危險性工作場所審查及檢查辦法規定，工程中模板支撐高度 7 公尺以上面積達 100 平方公尺以上且佔該樓層模板支撐面積百分之多少 以上者，為丁類危險性工作場所？ ①40 ②50 ③60 ④70 。
85,2,依營造安全衛生設施標準規定，以活動式踏板構築施工架之工作臺時，支 撐點至少應在幾處以上？ ①2 ②3 ③4 ④5 。
86,2,依營造安全衛生設施標準規定，輕型懸吊式施工架之工作台上作業人數， 最多為幾人？ ①1 ②2 ③3 ④4 。
87,4,使用於輕型懸吊式施工架上之懸吊鋼索，其安全係數應在多少以上？ ① 2.5 ②5 ③7.5 ④10 。
88,2,依機械設備器具安全資訊申報登錄辦法規定，資訊申報登錄未符規定者， 補正總日數不得超過幾日 ①15 ②30 ③45 ④60 。
89,1,依營造安全衛生設施標準規定，使用圓竹或單管式之鋼管構築施工架時， 其立柱之間距不得超過多少公尺？ ①1.8 ②2.2 ③2.8 ④3.2 。
90,2,依營造安全衛生設施標準規定，露天開挖垂直深度超過多少公尺，即應設 擋土支撐？ ①1.0 ②1.5 ③2.0 ④2.5 。
91,1,依營造安全衛生設施標準規定，露天開挖最大深度如果為 5 公尺時，則開 挖出之土石不得堆積於距離坡肩多少公尺範圍內？ ①5 ②10 ③15 ④20 。
92,3,依營造安全衛生設施標準規定，鋼構組配作業時，最高永久性樓板層上不 得有超過幾層樓以上之鋼構未鉚接、熔接或螺栓栓緊者？ ①2 ②3 ③4 ④ 5 。
93,2,依營造安全衛生設施標準規定，使用重力錘拆除建築物時，所設置之安全 區，其距離為距撞擊點多少倍建築物高度？ ①1.0 ②1.5 ③2.0 ④2.5 。
94,3,依營造安全衛生設施標準規定，為防止模板支撐之支柱的水平移動，應設 置下列何種構件？ ①鋼製頂板 ②螺栓 ③水平繫條 ④牽引板 。
95,3,依營造安全衛生設施標準規定，獨立之施工架在該架最後拆除前，至少應 有多少比例之踏腳桁不得移動，並使之與橫檔或立柱紮牢？ ①1 /5 ②1/4 ③ 1/3 ④1/2 。
96,4,依營造安全衛生設施標準之規定，安全帶或安全母索繫固之錨錠，至少應 能承受下列每人多少公斤以上之拉力？ ①1200 ②1300 ③2200 ④2300 。
97,1,依營造安全衛生設施標準規定，雇主對於置放於高處，位能超過下列若干 公斤‧公尺之物件有飛落之虞者，應予以固定之？ ①12 ②14 ③16 ④18 。
98,2,依營造安全衛生設施標準規定，雇主對於高度在多少公尺以上之施工架構 築，應由專任工程人員事先以預期施工時之最大荷重，依結構力學原理妥 為設計。 ①3 ②5 ③7 ④9 。
99,1,依職業安全衛生設施規則規定，雇主對於架設之通道屬營建使用之階梯， 其高度應在多少公尺以上時，每隔 7 公尺內設置平台一處？ ①8 ②9 ③10  ④12 。
100,3,依營造安全衛生設施標準規定，雇主對於框式鋼管式施工架之構築，其最 上層及每隔幾層應設置水平樑？ ①3 ②4 ③5 ④6 。
101,2,在常用溫度下，表壓力達每平方公分幾公斤以上之壓縮乙炔氣，係屬高壓 氣體勞工安全規則所稱之高壓氣體？ ①1 ②2 ③5 ④10 。
102,2,高壓氣體勞工安全規則所 稱超低溫容器，係指可灌裝攝氏零下幾度以下之 液化氣體，並使用絕熱材料被覆，使容器內氣體溫度不致上升至超過常用 溫度之容器？ ①30 ②50 ③100 ④150 。
103,2,依高壓氣體勞工安全規則規定，高壓氣體設備（容器及中央主管機關規定 者外）應具有以常用壓力幾倍以上壓力加壓時，不致引起降伏變形之厚度 或經中央主管機關認定具有同等以上強度者？ ①1.5 ②2 ③3 ④5 。
104,2,依高壓氣體勞工安全規則規定，乙炔、乙烯及氫氣中含氧容量，佔全容量 之百分之幾以上者不得予以壓縮？ ①1 ②2 ③3 ④4 。
105,3,依高壓氣體勞工安全規則規定，製造壓力超過每平方公分幾公斤之壓縮乙 炔時，應添加稀釋劑？ ①2 ②10 ③25 ④30 。
106,2,依高壓氣體勞工安全規則規定，埋設於地盤內之液化石油氣儲槽，其頂部 至少應距離地面幾公分？ ①30 ②60 ③100 ④150 。
107,2,依高壓氣體勞工安全規則規定，設置於內容積在五千公升以上之可燃性氣 體、毒性氣體或氧氣等之液化氣體儲槽之配管，應設置距離該儲槽外側幾 公尺以上可操作之緊急遮斷裝置，但僅用於接受液態之可燃性氣體、毒性 氣體或氧氣之配管者，得以逆止閥代替？ ①1 ②5 ③10 ④20 。
108,1,依高壓氣體勞工安全規則規定，加氣站液化石油氣之灌裝，應添加當液化 石油氣漏洩於空氣中之含量達多少比例即可察覺臭味之臭劑？ ①千分之 一 ②二千分之一 ③三千分之一 ④五千分之一 。
109,3,依高壓氣體勞 工安全規則規定，氰化氫之灌氣容器，應於灌裝後靜置幾小 時以上，確認無氣體之漏洩後，於其容器外面張貼載明有製造年月日之貼 籤？ ①10 ②15 ③24 ④48 。
110,3,依職業安全衛生設施規則規定，一般辦公場所之人工照明，其照度至少為 多少米燭光？ ①100 ②200 ③300 ④500 。
111,1,依高壓氣體勞工安全規則規定，對高壓氣體之製造，於其生成、分離、精 煉、反應、混合、加壓或減壓過程中，附設於安全閥或釋放閥之停止閥， 應維持在何種狀態？ ①全開放 ②半開放 ③三分之一開放 ④全關閉 。
112,4,依高壓氣體勞工安全規則規定，下列何者同時具有毒性與可燃性？ ①甲烷  ②氟 ③二甲醚 ④硫化氫 。
113,4,依高壓氣體勞工安全規則規定，供進行反應、分離、精煉、蒸餾等製程之 塔之高壓氣體設備，以其最高位正切線至最低位正切線間之長度在幾公尺 以上者，應具能承受地震影響之耐震構造？ ①2 ②3 ③4 ④5 。
114,4,危險性機械及設備安全檢查規則中所適用之營建用提升機，係指導軌或升 降路之高度在多少公尺以上之營建用提升機？ ①5 ②10 ③15 ④20 。
115,1,危險性機械及設備安全檢查規則中所適用之第一種壓力容器，係指以「每 平方公分之公斤數」單位所表示之最高使用壓力數值與以「 立方公尺」單 位所表示之內容積數值，兩者乘積值多少以上？ ①0.2 ②0.4 ③0.6 ④1.0 。
116,3,危險性機械及設備安全檢查規則中所適用之熱媒鍋爐，係指水頭壓力超過 10 公尺，或傳熱面積超過多少平方公尺之熱媒鍋爐？ ①4 ②6 ③8 ④10 。
117,3,危險性機械及設備安全檢查規則中所適用之高壓氣體容器，係指供灌裝高 壓氣體之容器中，相對於地面可移動，其內容積在幾公升以上者？ ①300  ②400 ③500 ④600 。
118,3,依危險性機械及設備安全檢查規則規定，固定式起重機竣工檢查中之安定 性試驗，係將相當於額定荷重多少倍之荷重置於吊具上，且使該起重機於 前方操作之最不利安定之條件下實施，並停止其逸走防止裝置、軌夾裝置 等之使用？ ①1.2 ②1.25 ③1.27 ④1.3 。
119,1,依危險性機械及設備安全檢查規則規定，雇主於移動式起重機檢查合格證 有效期限屆滿前幾個月，應填具移動式起重機定期檢查申請書申請定期檢 查；逾期未申請檢查或檢查不合格者，不得繼續使用？ ①1 ②2 ③3 ④4 。
120,4,依危險性機械及設備安全檢查規則規定，雇主對於停用超過檢查合格證有 效期限幾個月以上之營建用提升機，如擬恢復使用時，應填具重新檢查申 請書，向檢查機構申請重新檢查？ ①6 ②8 ③10 ④12 。
121,4,依危險性機械及設備安全檢查規則規定，雇主欲變更吊籠升降、制動或控 制裝置時，應申請何種檢查？ ①型式檢查 ②使用檢查 ③竣工檢查 ④變更 檢查 。
122,3,依危險性機械及設備安全檢查規則規定，雇主對於第一種壓力容器如無法 依規定期限實施內部檢查時，得於內部檢查有效期限屆滿前幾個月，檢附 所有規定資料，報經檢查機構核定後，延長其內部檢查期限或以其他檢查 方式替代？ ①1 ②2 ③3 ④6 。
123,3,依危險性機械及設備安全檢查規則規定，第一種壓力容器經大修改致其胴 體或集管器變動多少以上、或端板、管板之全部修改或頂蓋板、補強支撐 等有變動者，所有人或雇主應向所在地檢查機構申請變更檢查？ ①五分之 一 ②四分之一 ③三分之一 ④二分之一 。
124,1,依危險性機械及設備安全檢查規則規定，高壓氣體容器之定期檢查，自構 造檢查合格日起算 20 年以上者，須每幾年實施內部檢查 1 次以上？ ①1 ② 2 ③3 ④5 。
125,2,依鍋爐及壓力容器安全規則規定，雇主於鍋爐房儲存固體燃料應距離鍋爐 外側多少公尺以上？ ①1 ②1.2 ③1.5 ④2 。
126,2,依危險性機械及設備安全檢查規則規定，國內製造之危險性機械或設備之 檢查應依中央主管機關指定之相關標準之全部或部分內容規定辦理。下列 何種標準未列入可指定之範圍？ ①國家標準 ②工廠標準 ③國際標準 ④ 團體標準 。
127,1,依危險性機械及設備安全檢查規則規定，高壓氣體特定設備係指供高壓氣 體之下列何種行為之設備及其支持構造物？ ①製造 ②供應 ③運輸 ④消 費 。
128,3,依危險性機械及設備安全檢查規則規定，下列何者非為固定式起重機所需 之檢查？ ①型式檢查 ②竣工檢查 ③使用檢查 ④重新檢查 。
129,2,依危險性機械及設備安全檢查規則規定，額定荷重 300 公噸之固定式起重 機，竣工檢查實施荷重試驗時，需將相當於若干額定荷重置於吊具上實施 各項動作試驗？ ①300 公噸 ②350 公噸 ③375 公噸 ④381 公噸 。
130,3,依危險性機械及設備安全檢查規則規定，高壓氣體容器在下列何種檢查合 格後，即可發檢查合格證供勞工使用？ ①型式檢查 ②熔接檢查 ③構造檢 查 ④使用檢查 。
131,2,依鍋爐及壓力容器安全規則規定，鍋爐房應設至少幾個以上之出入口，但 緊急時鍋爐操作人員可避難者，不在此限？ ①1 ②2 ③3 ④4 。
132,4,依職業安全衛生法規定，下列何項機械或設備之操作人員，雇主應僱用經 技術士技能檢定或訓練合格人員充任之？ ①升降機 ②簡易提升機 ③圓盤 鋸 ④鍋爐 。
133,4,依職業安全衛生管理辦法規定，小型鍋爐、小型壓力容器每年應實施定期 檢查 1 次以上，由下列何者辦理？ ①勞動檢查機構 ②代行檢查機構 ③製 造廠 ④雇主 。
134,3,依鍋爐及壓力容器安全規則規定，胴體內徑達 500 公厘以上之豎型鍋爐或 鍋爐本體外側，未加被覆物之鍋爐外側與主牆壁之間，應保留多少公分以 上之距離？ ①15 ②30 ③45 ④100 。
135,4,依鍋爐及壓力容器安全規則規定，壓力容器設有 2 具以上安全閥者，其中 至少 1 具應調整最高使用壓力以下吹洩，其他安全閥最大可調整至最高使 用壓力之幾倍以下吹洩？ ①1.00 ②1.01 ③1.02 ④1.03 。
136,1,依職業安全衛生設施規則規定，雇主使勞工於有危害勞工之虞之局限空間 從事作業時，對勞工之進出，應予確認、點名登記，並作成紀錄至少保存 多少年？ ①1 ②2 ③3 ④4 。
137,3,依職業安全衛生設施規則規定，起重升降機具所使用之吊鉤或鉤環及附屬 零件，其斷裂荷重與所承受之最大荷重比之安全係數，應在多少以上？ ① 2 ②3 ③4 ④5 。
138,2,依職業安全衛生設施規則規定，雇主對於自高度在多少公尺以上之場所投 下物體有危害勞工之虞時，應設置適當之滑槽、承受設備，並指派監視人 員？ ①2 ②3 ③4 ④5 。
139,1,依職業安全衛生設施規則規定，雇主對勞工於石綿板、鐵皮板、瓦、木板、 茅草、塑膠等材料構築之屋頂從事作業時，為防止勞工踏穿墜落，應於屋 架上設置適當強度，且寬度在多少公分以上之踏板或裝設安全護網？ ①30  ②40 ③50 ④60 。
140,4,高壓氣體容器之定期檢查，依危險性機械及設備安全檢查規則規定，自構 造檢查合格日起算未滿 15 年者，須每幾年檢查 1 次以上？ ①1 ②2 ③3 ④ 5 。
141,2,依高壓氣體勞工安全規則規定， W( 公斤)＝V2 (公升)/C( 指數)係為下列何種 能力？ ①液化氣體儲存設備之儲存能力 ②液化氣體容器之儲存能力 ③高 壓氣體之處理能力 ④冷凍設備之冷凍能力 。
142,4,依高壓氣體勞工安全規則規定，自可燃性氣體製造設備之高壓氣體設備之 外面與氧氣製造設備之高壓氣體設備間，應保持多少公尺以上？ ①1 ②5  ③8 ④10 。
